vid	744	.sahibinden.com	/	2026-08-08T17:29:44.978Z	6		✓	None			Medium	
st	a43b01c244dc949498a7cb28f66125f72b9ea606005a0298683b466fe617ca1aa99e0689dee4bc22ac1ae19e808ce4d20bab04e73151accaf	.sahibinden.com	/	Session	115	✓	✓				Medium	
showPremiumBanner	false	.sahibinden.com	/	2026-07-04T17:29:47.000Z	22						Medium	
nwsh	std	.sahibinden.com	/	2026-07-04T18:33:23.000Z	7						Medium	
geoipIsp	turkcell_superonline	.sahibinden.com	/	2025-07-04T19:33:23.595Z	28						Medium	
geoipCity	istanbul	.sahibinden.com	/	2025-07-04T19:33:23.595Z	17						Medium	
dp	1470*956-landscape	.sahibinden.com	/	2025-07-04T18:48:23.000Z	20						Medium	
cwt	HXpG4lfMhP4gpNNjKNzGhqSrFK1BvOg4ZRhsMlXHRXqZ1ja77BIZ7J9YzNnAH7y_r8TGzr8C4x5__rhPprNJFMnsNbQCqo2zmw	.sahibinden.com	/	2026-08-08T17:29:45.396Z	101	✓	✓	None			Medium	
csss	IUvt3tBz49HxcJJPVllMKx5cCiha-KxI5flsgCjcmsiYeB3jMGFQskd8cGr-2GKmQnuLQyR2z1SgAQCEV4YEXg	.sahibinden.com	/	2025-07-04T19:03:22.121Z	90	✓	✓	None			Medium	
csls	NraTE_ShDLaBjRfmH35HBBFpVRvyHyqVMA_ZImK7dVGhiWCNdhCxeoKdnJPVHykES0r7EEfp_MIl9LWZKAUVpw	.sahibinden.com	/	2026-07-04T17:29:44.978Z	90	✓	✓	None			Medium	
csid	n9a4dre6nkF1JWkyrjdpV2HWWMaFaoOzoiAA6fWiipt4fhNEheys2raq919DTBhIhrCxDKHhDpnV0Iby0GvMHQEu0sTzdzT4xWMuRz-iqZQZQp0mlhFVswjK8IKYe0WPdilHILsCJSTW-cP7H6-UeMPnSdz0RsxACy_gzFr99q1Y-IcPWpKPHqkESRWLWaeYhQ45pwIVhq9ZVNN6RaZPbaMzCQI5h7Qvhnh5dB9xchIFyZBVCSDovl0kryXSaxAB03v6sCQxi1FbmCiy1UrEYzpUFnGlhEMSRi6dPfz17r-jtBJbvFxOS1lRxTBnFh5G7GKrIrwjel_4beEfH6vsjlGwK1O9KywtyeC8i3ndXBpp_-RReJSlGqk11j6_v5zf	.sahibinden.com	/	2025-07-04T18:48:22.121Z	388	✓	✓	None			Medium	
cf_clearance	3018FE5i.HM1djbYmo3ZARJQjF9irTtqsA3vk_bRDos-1751653469-1.2.1.1-7WL7AwI0XRQb4vzbZYZhBUDDdmOmLsiOWzR5cwuUvidX7XY5bTDHNPkMy0unDAUZQQzhQp2zZEp6UysQGx5FlGf0V4aS9iCvpVOZVjfE1dj8th3kFHy.X1SMNcg.aBIiFnLgAEXhIb9Nzhe3nq584zV1acF.a_rj.GnsyrhnYSSG0CHaSE32seod59VAfwizO6XxjJazt1tbVtJtCEmdOMvtZouJvVcdxSkoolGPDCo	.sahibinden.com	/	2026-07-04T18:24:29.021Z	310	✓	✓	None	https://sahibinden.com		Medium	
cdid	22EVpULjlfUYmECM68680f88	.sahibinden.com	/	2026-08-08T17:29:44.978Z	28		✓	None			Medium	
_gid	GA1.2.1732586253.1751650189	.sahibinden.com	/	2025-07-05T18:33:23.000Z	31						Medium	
